Location,Title,Year,Model,Price,Avg_Price,URL,Post_Date,Posting_Age,z_score
 (Newport beach),2015 Honda Civic LX**3 YEAR OLD CAR*** GREAT DEAL,2015,Civic,10500,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-lx3-year-old/6492831358.html,2018-02-16 17:18,1,0.19767309227786015
 (Newport beach),2015 Honda Civic LX*** 1 OWNER| CLEAN TITLE| CLEAN CARFAX***,2015,Civic,10500,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-lx-1-owner/6494496111.html,2018-02-15 10:34,2,0.19767309227786015
 (Newport beach),2015 HONDA CIVIC ***1 OWNER| Clean Title| Clean Carfax***,2015,Civic,10500,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-1-owner/6494078459.html,2018-02-14 12:36,3,0.19767309227786015
" (Venice, CA)",Honda Civic Coupe EX-L 2008,2008,Civic,6500,5400,https://losangeles.craigslist.org/lac/cto/d/honda-civic-coupe-ex-2008/6488098541.html,2018-02-10 12:47,7,0.2037037037037037
 (Acton),2008 Honda civic,2008,Civic,6500,5400,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6486320818.html,2018-02-06 04:18,11,0.2037037037037037
 (Governor drive),2008 Honda Civic Coupe EX,2008,Civic,6500,5400,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic-coupe-ex/6486128604.html,2018-02-05 19:17,11,0.2037037037037037
 (Acton),2008 Honda civic,2008,Civic,6500,5400,https://losangeles.craigslist.org/ant/cto/d/2008-honda-civic/6486320818.html,2018-02-06 04:18,11,0.2037037037037037
 (National City),2002 Honda Civic,2002,Civic,2800,2297,https://sandiego.craigslist.org/csd/cto/d/2002-honda-civic/6481901576.html,2018-02-13 08:37,4,0.21898127993034391
 (Long Beach),2012 Honda Civic NGV with Navigation,2012,Civic,8800,7208,https://losangeles.craigslist.org/lgb/cto/d/2012-honda-civic-ngv-with/6488612238.html,2018-02-07 19:09,9,0.22086570477247502
 (HUNTINTON PK),2016 HONDA CIVIC EX GRAY SEDAN CAMARA 4DOORS,2016,Civic,11996,9815,https://losangeles.craigslist.org/lac/cto/d/2016-honda-civic-ex-gray/6484991244.html,2018-02-05 00:14,12,0.22221090168110036
